date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:25:16	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Sat,%2007%20Jan%202023%2010:25:15%20GMT	https://showcase.refokus.com/robots.txt		(from )
13:25:16	59384/59384	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20Jan%202023%2010:25:15%20GMT	https://showcase.refokus.com/	D:/web/showcase/showcase/showcase.refokus.com/index.html	(from )
13:25:16	127218/127218	---M-Z	200	added ('OK')	text/css	etag:%22792dc9e44931008a4ff95d350863b557%22	https://assets.website-files.com/62fcbf467b1adcb80d4ce04d/css/showcase-websites.05d4f2b87.min.css	D:/web/showcase/showcase/assets.website-files.com/62fcbf467b1adcb80d4ce04d/css/showcase-websites.05d4f2b87.min.css	(from https://showcase.refokus.com/)
13:25:16	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	D:/web/showcase/showcase/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://showcase.refokus.com/)
13:25:17	430/430	---M--	200	added ('OK')	image/png	etag:%228c2974b5e2742dac1f6baabdaa577f07%22	https://assets.website-files.com/62fcbf467b1adcb80d4ce04d/62fcbf477b1adc04ae4ce0b6_favicon.png	D:/web/showcase/showcase/assets.website-files.com/62fcbf467b1adcb80d4ce04d/62fcbf477b1adc04ae4ce0b6_favicon.png	(from https://showcase.refokus.com/)
13:25:17	2500/2500	---M--	200	added ('OK')	image/png	etag:%225eb849f0288f90a53d938d233ecbfed6%22	https://assets.website-files.com/62fcbf467b1adcb80d4ce04d/62fcbf477b1adc56234ce0b7_webclip.png	D:/web/showcase/showcase/assets.website-files.com/62fcbf467b1adcb80d4ce04d/62fcbf477b1adc56234ce0b7_webclip.png	(from https://showcase.refokus.com/)
13:25:19	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2007%20Jan%202023%2010:25:19%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/web/showcase/showcase/www.googletagmanager.com/gtm.55445.delayed	(from https://showcase.refokus.com/)
13:25:19	114786/114786	---M--	200	added ('OK')	image/png	etag:%22c73193744728e8b16814ba01f24898fe%22	https://s3-us-west-2.amazonaws.com/s.cdpn.io/1295275/background-noise.png	D:/web/showcase/showcase/s3-us-west-2.amazonaws.com/s.cdpn.io/1295275/background-noise.png	(from https://showcase.refokus.com/)
13:25:19	1369/1369	---M-Z	200	added ('OK')	text/css	etag:%225eb03fd5-559%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.min.css	D:/web/showcase/showcase/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.min.css	(from https://showcase.refokus.com/)
13:25:20	30344/30344	---M--	200	added ('OK')	image/png	etag:%22780d8acd27506f91bcc1a635d2ffe392%22	https://assets.website-files.com/62fcbf467b1adcb80d4ce04d/63106832ff915b38d52b7d77_Step_4.png	D:/web/showcase/showcase/assets.website-files.com/62fcbf467b1adcb80d4ce04d/63106832ff915b38d52b7d77_Step_4.png	(from https://showcase.refokus.com/)
13:25:20	32383/32383	---M--	200	added ('OK')	image/png	etag:%22073c63a0b5ef9cec4d6c4a8207f2f021%22	https://assets.website-files.com/62fcbf467b1adcb80d4ce04d/631068327d53a5e86a0f8fdd_Step_2.png	D:/web/showcase/showcase/assets.website-files.com/62fcbf467b1adcb80d4ce04d/631068327d53a5e86a0f8fdd_Step_2.png	(from https://showcase.refokus.com/)
13:25:21	30212/30212	---M--	200	added ('OK')	image/png	etag:%22cf3e25e685c76d7a7b96d9c2e7e024c6%22	https://assets.website-files.com/62fcbf467b1adcb80d4ce04d/6310683237560b56ee28f1a3_Step_3.png	D:/web/showcase/showcase/assets.website-files.com/62fcbf467b1adcb80d4ce04d/6310683237560b56ee28f1a3_Step_3.png	(from https://showcase.refokus.com/)
13:25:21	50008/50008	---M--	200	added ('OK')	image/png	etag:%221e466a650c1fdafc422bc20744b2c98d%22	https://assets.website-files.com/62fcbf467b1adcb80d4ce04d/632db828bc69240413f45915_year-in-review-slider.png	D:/web/showcase/showcase/assets.website-files.com/62fcbf467b1adcb80d4ce04d/632db828bc69240413f45915_year-in-review-slider.png	(from https://showcase.refokus.com/)
13:25:22	54382/54382	---M--	200	added ('OK')	image/png	etag:%223978ad54ffef6d0f385d35f3c0fd6d26%22	https://assets.website-files.com/62fcbf467b1adcb80d4ce04d/632db828befab09a96a6b596_rainfall-slider.png	D:/web/showcase/showcase/assets.website-files.com/62fcbf467b1adcb80d4ce04d/632db828befab09a96a6b596_rainfall-slider.png	(from https://showcase.refokus.com/)
13:25:22	34498/34498	---M--	200	added ('OK')	image/png	etag:%22b3d27ed6849073d310170c07492b82c3%22	https://assets.website-files.com/62fcbf467b1adcb80d4ce04d/632db8287cb35f2982de6b25_summon-slider.png	D:/web/showcase/showcase/assets.website-files.com/62fcbf467b1adcb80d4ce04d/632db8287cb35f2982de6b25_summon-slider.png	(from https://showcase.refokus.com/)
13:25:22	73846/73846	---M--	200	added ('OK')	image/png	etag:%226ab2155140e168afc8093d22abffd84b%22	https://assets.website-files.com/62fcbf467b1adcb80d4ce04d/632db8288b7a88c1a900281e_yahoo-slider.png	D:/web/showcase/showcase/assets.website-files.com/62fcbf467b1adcb80d4ce04d/632db8288b7a88c1a900281e_yahoo-slider.png	(from https://showcase.refokus.com/)
13:25:23	60279/60279	---M--	200	added ('OK')	image/png	etag:%22a5df1a98b15150968816d25973d0639a%22	https://assets.website-files.com/62fcbf467b1adcb80d4ce04d/632db82883b39024fb3011bb_weglot-slider.png	D:/web/showcase/showcase/assets.website-files.com/62fcbf467b1adcb80d4ce04d/632db82883b39024fb3011bb_weglot-slider.png	(from https://showcase.refokus.com/)
